,precision,recall,f1-score
negative,0.8085106382978723,0.18645731108930325,0.30303030303030304
neutral,0.42935596605092363,0.8439646712463199,0.5691594970218399
positive,0.8266178266178266,0.6643768400392541,0.7366702937976061
